"filename", "language", "Python", "CSS", "XML", "HTML", "JavaScript", "pip requirements", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\support.user2\django_project_form\static\admin\css\rtl.css", "CSS", 0, 169, 0, 0, 0, 0, 0, 0, 8, 51, 228
"c:\Users\support.user2\django_project_form\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\support.user2\django_project_form\static\admin\css\vendor\select2\select2.css", "CSS", 0, 425, 0, 0, 0, 0, 0, 0, 0, 57, 482
"c:\Users\support.user2\django_project_form\static\admin\css\vendor\select2\select2.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\support.user2\django_project_form\static\admin\css\widgets.css", "CSS", 0, 465, 0, 0, 0, 0, 0, 0, 8, 102, 575
"c:\Users\support.user2\django_project_form\static\admin\img\calendar-icons.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\support.user2\django_project_form\static\admin\img\gis\move_vertex_off.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\support.user2\django_project_form\static\admin\img\gis\move_vertex_on.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\support.user2\django_project_form\static\admin\img\icon-addlink.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-alert.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-calendar.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\support.user2\django_project_form\static\admin\img\icon-changelink.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-clock.svg", "XML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\support.user2\django_project_form\static\admin\img\icon-deletelink.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-no.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-unknown-alt.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-unknown.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\support.user2\django_project_form\static\admin\img\icon-viewlink.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
